,hotelID,Category
0,AVwc252WIN2L1WUfpqLP,Hotels
1,AVwc252WIN2L1WUfpqLP,Hotels and motels
2,AVwc252WIN2L1WUfpqLP,Hotel and motel reservations
3,AVwc252WIN2L1WUfpqLP,Resorts
4,AVwc252WIN2L1WUfpqLP,Resort
5,AVwc252WIN2L1WUfpqLP,Hotel
6,AVwdOclqIN2L1WUfti38,Hotels
7,AVwdOclqIN2L1WUfti38,Hotels and motels
8,AVwdOclqIN2L1WUfti38,Travel agencies and bureaus
9,AVwdOclqIN2L1WUfti38,Hotel and Motel Management
10,AVwdOclqIN2L1WUfti38,Hotel & Motel Management
11,AVwdOclqIN2L1WUfti38,Motels
12,AVwdOclqIN2L1WUfti38,Hotel
13,AVwePiAX_7pvs4fzBSAl,Hotels
14,AVwePiAX_7pvs4fzBSAl,Hotels and motels
15,AVwePiAX_7pvs4fzBSAl,Hotel and motel reservations
16,AVwePiAX_7pvs4fzBSAl,Corporate Lodging
17,AVwePiAX_7pvs4fzBSAl,Lodging
18,AVwePiAX_7pvs4fzBSAl,Real estate
19,AVwePiAX_7pvs4fzBSAl,Hotel
20,AVwdUKE3_7pvs4fz4lE-,Hotels
21,AVwdUKE3_7pvs4fz4lE-,Caterers
22,AVwdUKE3_7pvs4fz4lE-,Hotels and motels
23,AVwdUKE3_7pvs4fz4lE-,Hotel
24,AVwdUKE3_7pvs4fz4lE-,Restaurants
25,AVweQyWNkufWRAb5BZeg,Bed Breakfasts
26,AVweQyWNkufWRAb5BZeg,Bed Breakfast
27,AVweQyWNkufWRAb5BZeg,Hotels Motels
28,AVweQyWNkufWRAb5BZeg,Hotel
29,AVweQDZpIN2L1WUf3TA9,Hotels
30,AVweQDZpIN2L1WUf3TA9,Corporate Lodging
31,AVweQDZpIN2L1WUf3TA9,Lodging
32,AVweQDZpIN2L1WUf3TA9,Hotels Motels
33,AVweQDZpIN2L1WUf3TA9,Motels
34,AVweQDZpIN2L1WUf3TA9,Hotel
35,AVwdQ0dy_7pvs4fz4BqX,Hotels
36,AVwdQ0dy_7pvs4fz4BqX,Resort
37,AVwdQ0dy_7pvs4fz4BqX,Spa
38,AVwdQ0dy_7pvs4fz4BqX,Meeting Room
39,AVwdQ0dy_7pvs4fz4BqX,Hotel
40,AWE7dKHFIxWefVJwyLgA,Hotels
41,AWE7dKHFIxWefVJwyLgA,Corporate Lodging
42,AWE7dKHFIxWefVJwyLgA,Lodging
43,AWE7dKHFIxWefVJwyLgA,Hotel
44,AVwcfFGw_7pvs4fzvk4S,Hotels
45,AVwcfFGw_7pvs4fzvk4S,Concierge Service
46,AVwcfFGw_7pvs4fzvk4S,Resort
47,AVwcfFGw_7pvs4fzvk4S,Resorts
48,AVwcfFGw_7pvs4fzvk4S,Budget Hotels
49,AVwcfFGw_7pvs4fzvk4S,Tourist Hotels
50,AVwcfFGw_7pvs4fzvk4S,Hotels Motels
51,AVwcfFGw_7pvs4fzvk4S,Family-friendly Hotels
52,AVwcfFGw_7pvs4fzvk4S,Hotel
53,AVwcfFGw_7pvs4fzvk4S,Business Hotels
54,AVwcfFGw_7pvs4fzvk4S,Golf Courses
55,AVwdbM6R_7pvs4fz5wdc,Hotels
56,AVwdbM6R_7pvs4fz5wdc,Travel & Transport
57,AVwdbM6R_7pvs4fz5wdc,Hotels Motels
58,AVwdbM6R_7pvs4fz5wdc,Hotels & Motels
59,AVwdbM6R_7pvs4fz5wdc,Hotel
60,AVwemBCCkufWRAb5EZCs,Family-Friendly Hotels
61,AVwemBCCkufWRAb5EZCs,Budget Hotels
62,AVwemBCCkufWRAb5EZCs,Resorts
63,AVwemBCCkufWRAb5EZCs,Resort
64,AVwemBCCkufWRAb5EZCs,Tourist Hotels
65,AVwemBCCkufWRAb5EZCs,Resort
66,AVwemBCCkufWRAb5EZCs, Pool
67,AVwemBCCkufWRAb5EZCs, and Hotel
68,AVwemBCCkufWRAb5EZCs,Pool
69,AVwemBCCkufWRAb5EZCs,Water Parks
70,AVwemBCCkufWRAb5EZCs,Hotels & Motels
71,AVwemBCCkufWRAb5EZCs,Business Hotels
72,AVwemBCCkufWRAb5EZCs,Hotel
73,AWE2CYSsIxWefVJwyDrn,Hotels
74,AWE2CYSsIxWefVJwyDrn,Honeymoon Resorts
75,AWE2CYSsIxWefVJwyDrn,Resorts Reservations
76,AWE2CYSsIxWefVJwyDrn,Hotel
77,AV-TGsFqRxPSIh2RmVF-,Hotels
78,AV-TGsFqRxPSIh2RmVF-,Hotel
79,AVwct7BzIN2L1WUfoHaP,Hotels
80,AVwct7BzIN2L1WUfoHaP,Hotel
81,AWKpI38Q3-Khe5l_hxUR,Hotels
82,AWKpI38Q3-Khe5l_hxUR,Hotel
83,AWKlQWNQa4HuVbedPUSi,Hotels
84,AWKlQWNQa4HuVbedPUSi,Hotel
85,AVzX1GbfFcQ3k02bB73-,Hotels
86,AVzX1GbfFcQ3k02bB73-,Boutique Hotels
87,AVzX1GbfFcQ3k02bB73-,Hotel
88,AWEhoizBa4HuVbedNJo_,Hotels
89,AWEhoizBa4HuVbedNJo_,Hotel
90,AV-TGwqGIxWefVJwr5Ji,Hotels
91,AV-TGwqGIxWefVJwr5Ji,Hotel
92,AV3O9oECIxWefVJwjraT,Hotels
93,AV3O9oECIxWefVJwjraT,Hotel
94,AWNSHai33-Khe5l_ifzh,Hotels
95,AWNSHai33-Khe5l_ifzh,Hotel
96,AWE7h8u53-Khe5l_f4mi,Hotels
97,AWE7h8u53-Khe5l_f4mi,Hotel
98,AV1eTXQF3-Khe5l_NF6Q,Hotels
99,AV1eTXQF3-Khe5l_NF6Q,Hotel
100,AWE7h7Cta4HuVbedNeQt,Hotels
101,AWE7h7Cta4HuVbedNeQt,Hotel
102,AWE2E2OG3-Khe5l_fwmT,Hotels
103,AWE2E2OG3-Khe5l_fwmT,Hotels and motels
104,AWE2E2OG3-Khe5l_fwmT,Hotel
105,AWKpYhaja4HuVbedPVes,Hotels
106,AWKpYhaja4HuVbedPVes,Hotel
107,AWKkrZYpa4HuVbedPT1I,Hotels
108,AWKkrZYpa4HuVbedPT1I,Hotel
109,AVzOLyE1FcQ3k02bBr9S,Hotels
110,AVzOLyE1FcQ3k02bBr9S,Hotels and motels
111,AVzOLyE1FcQ3k02bBr9S,Hotel
112,AWE2BgHcIxWefVJwyDYU,Hotels
113,AWE2BgHcIxWefVJwyDYU,Hotel
114,AVzX37zs-gnIPe8DTHi5,Hotels
115,AVzX37zs-gnIPe8DTHi5,Hotel
116,AVzYkxFXFcQ3k02bCKjD,Hotels
117,AVzYkxFXFcQ3k02bCKjD,Resort
118,AVzYkxFXFcQ3k02bCKjD,Meeting Room
119,AVzYkxFXFcQ3k02bCKjD,Hotel
120,AV-TGuWBa4HuVbedGcJK,Hotels
121,AV-TGuWBa4HuVbedGcJK,Hotel
122,AWKr8UBHa4HuVbedPWl2,Hotels
123,AWKr8UBHa4HuVbedPWl2,Hotel
124,AWKuEeWka4HuVbedPXff,Hotels
125,AWKuEeWka4HuVbedPXff,Hotel
126,AWE7he303-Khe5l_f4kC,Hotels
127,AWE7he303-Khe5l_f4kC,Hotel
128,AWEw3H-UIxWefVJwyAZ0,Hotels
129,AWEw3H-UIxWefVJwyAZ0,Hotel
130,AV-TGwK3IxWefVJwr5IJ,Hotels
131,AV-TGwK3IxWefVJwr5IJ,Hotel
132,AWUPNmq6IxWefVJw3c71,Hotels
133,AWUPNmq6IxWefVJw3c71,Hotel
134,AWE1_Z8-RxPSIh2Rsaks,Hotels
135,AWE1_Z8-RxPSIh2Rsaks,Hotel
136,AWKoW_tYa4HuVbedPVUg,Hotels
137,AWKoW_tYa4HuVbedPVUg,Hotel
138,AVwdslPrIN2L1WUfyXgP,Resorts & Vacation Cottages
139,AVwdslPrIN2L1WUfyXgP,Hotels and motels
140,AVwdslPrIN2L1WUfyXgP,Hotel and motel reservations
141,AVwdslPrIN2L1WUfyXgP,Resorts
142,AVwdslPrIN2L1WUfyXgP,Hotels Motels
143,AVwdslPrIN2L1WUfyXgP,Accommodations & Lodging
144,AVwdslPrIN2L1WUfyXgP,Hotels & Motels
145,AVwdslPrIN2L1WUfyXgP,Hotel
146,AVwdsLHMByjofQCxrmsd,Hotels
147,AVwdsLHMByjofQCxrmsd,Hotels and motels
148,AVwdsLHMByjofQCxrmsd,Lodging
149,AVwdsLHMByjofQCxrmsd,Accommodations & Lodging
150,AVwdsLHMByjofQCxrmsd,Banquet Facilities
151,AVwdsLHMByjofQCxrmsd,Hotel
152,AVwdoQs4IN2L1WUfxtHH,Hotels
153,AVwdoQs4IN2L1WUfxtHH,Hotels and motels
154,AVwdoQs4IN2L1WUfxtHH,Travel agencies and bureaus
155,AVwdoQs4IN2L1WUfxtHH,Hotel Motel & Resort Reservations
156,AVwdoQs4IN2L1WUfxtHH,Accommodations & Lodging
157,AVwdoQs4IN2L1WUfxtHH,Hotel Chelsea
158,AVwdoQs4IN2L1WUfxtHH,Hotel
159,AVwdLbuu_7pvs4fz3FIK,Hotels
160,AVwdLbuu_7pvs4fz3FIK,Hotels and motels
161,AVwdLbuu_7pvs4fz3FIK,Hotel and motel reservations
162,AVwdLbuu_7pvs4fz3FIK,Lodging
163,AVwdLbuu_7pvs4fz3FIK,Accommodations & Lodging
164,AVwdLbuu_7pvs4fz3FIK,Motels
165,AVwdLbuu_7pvs4fz3FIK,Hotel
166,AWE2CvxXa4HuVbedNVUf,Hotels
167,AWE2CvxXa4HuVbedNVUf,Resorts
168,AWE2CvxXa4HuVbedNVUf,Hotels-Apartment
169,AWE2CvxXa4HuVbedNVUf,Motels
170,AWE2CvxXa4HuVbedNVUf,Hotel
171,AVweMjEcIN2L1WUf208j,Hotels
172,AVweMjEcIN2L1WUf208j,Hotels Motels
173,AVweMjEcIN2L1WUf208j,Motels
174,AVweMjEcIN2L1WUf208j,Hotel
175,AVwdLMav_7pvs4fz3CHy,Hotels
176,AVwdLMav_7pvs4fz3CHy,Hotels Motels
177,AVwdLMav_7pvs4fz3CHy,Hotel
178,AVwdZiL7kufWRAb55fnk,Hotels
179,AVwdZiL7kufWRAb55fnk,Hotels Motels
180,AVwdZiL7kufWRAb55fnk,Hotel
181,AVzOLf4aFcQ3k02bBrRN,Hotels
182,AVzOLf4aFcQ3k02bBrRN,Hotel
183,AVwdLdlp_7pvs4fz3Ffc,Hotels
184,AVwdLdlp_7pvs4fz3Ffc,Lodging
185,AVwdLdlp_7pvs4fz3Ffc,Motels
186,AVwdLdlp_7pvs4fz3Ffc,Hotel
187,AVwdcQ_1ByjofQCxpKUm,Hotels and motels
188,AVwdcQ_1ByjofQCxpKUm,Hotel
189,AVwdlxF6ByjofQCxqnI2,Hotels
190,AVwdlxF6ByjofQCxqnI2,Hotels and motels
191,AVwdlxF6ByjofQCxqnI2,Corporate Lodging
192,AVwdlxF6ByjofQCxqnI2,Lodging
193,AVwdlxF6ByjofQCxqnI2,Hotel
194,AV4zBlFx3-Khe5l_SI6V,Hotels
195,AV4zBlFx3-Khe5l_SI6V,Corporate Lodging
196,AV4zBlFx3-Khe5l_SI6V,Lodging
197,AV4zBlFx3-Khe5l_SI6V,Hotel
198,AVwc93g4_7pvs4fz02fD,Hotels
199,AVwc93g4_7pvs4fz02fD,Bed Breakfast Lakeview
200,AVwc93g4_7pvs4fz02fD,Hotel
201,AVweERJikufWRAb5_tYe,Hotels
202,AVweERJikufWRAb5_tYe,Hotel
203,AV43XxGTIxWefVJwkpQ0,Hotels
204,AV43XxGTIxWefVJwkpQ0,Hotels and motels
205,AV43XxGTIxWefVJwkpQ0,Motels
206,AV43XxGTIxWefVJwkpQ0,Hotel
207,AWIHh69e3-Khe5l_hRq9,Hotels
208,AWIHh69e3-Khe5l_hRq9,Lodging
