,hotelID,cityID,name
0,AVwc252WIN2L1WUfpqLP,1,Rancho Valencia Resort Spa
1,AVwdOclqIN2L1WUfti38,2,Aloft Arundel Mills
2,AVwePiAX_7pvs4fzBSAl,3,Hampton Inn Suites PortlandVancouver
3,AVwdUKE3_7pvs4fz4lE-,4,Hotel Phillips
4,AVweQyWNkufWRAb5BZeg,5,The Inn at Solvang
5,AVweQDZpIN2L1WUf3TA9,6,Econolodge
6,AVwdQ0dy_7pvs4fz4BqX,7,Hotel Zelos
7,AVwdKLPU_7pvs4fz23YA,8,EconoLodge
8,AWE7dKHFIxWefVJwyLgA,9,Hampton Inn Suites National HarborAlexandria Area
9,AVwcfFGw_7pvs4fzvk4S,10,Fairmont Grand Del Mar
10,AVwdbM6R_7pvs4fz5wdc,11,Best Western at OHare
11,AVwemBCCkufWRAb5EZCs,12,Clarion Resort Waterpark
12,AWE2CYSsIxWefVJwyDrn,13,Virgin Hotels Chicago
13,AV-TGsFqRxPSIh2RmVF-,14,The Boxer
14,AVwct7BzIN2L1WUfoHaP,15,The Old No. 77 Hotel & Chandlery
15,AWKpI38Q3-Khe5l_hxUR,16,Main Street Station Casino Brewery Hotel
16,AWKlQWNQa4HuVbedPUSi,16,Fremont Hotel & Casino
17,AVzX1GbfFcQ3k02bB73-,14,The Charlesmark Hotel
18,AWEhoizBa4HuVbedNJo_,14,AC Hotel by Marriott Boston Downtown
19,AV-TGwqGIxWefVJwr5Ji,17,The Hotel of South Beach
20,AV3O9oECIxWefVJwjraT,18,The Pearl Hotel
21,AWNSHai33-Khe5l_ifzh,19,Hotel Renew
22,AWE7h8u53-Khe5l_f4mi,18,Four Seasons Hotel New York Downtown
23,AV1eTXQF3-Khe5l_NF6Q,18,The James New York – NoMad
24,AWE7h7Cta4HuVbedNeQt,15,MOXY New Orleans Downtown/French Quarter Area
25,AWE2E2OG3-Khe5l_fwmT,15,Bienville House
26,AWKpYhaja4HuVbedPVes,17,Room Mate Lord Balfour
27,AWKkrZYpa4HuVbedPT1I,16,The Westin Las Vegas Hotel & Spa
28,AVzOLyE1FcQ3k02bBr9S,18,The Broome
29,AWE2BgHcIxWefVJwyDYU,14,W Boston
30,AVzX37zs-gnIPe8DTHi5,20,"Mandarin Oriental, Miami"
31,AVzYkxFXFcQ3k02bCKjD,14,"The Ritz-Carlton, Boston"
32,AV-TGuWBa4HuVbedGcJK,18,The St. Regis New York
33,AWKr8UBHa4HuVbedPWl2,21,Miyako Hotel Los Angeles
34,AWKuEeWka4HuVbedPXff,13,AC Hotel Chicago Downtown
35,AWE7he303-Khe5l_f4kC,13,Ace Hotel Chicago
36,AWEw3H-UIxWefVJwyAZ0,13,dana hotel and spa
37,AV-TGwK3IxWefVJwr5IJ,13,Kinzie Hotel
38,AWUPNmq6IxWefVJw3c71,13,Moxy Chicago Downtown
39,AWE1_Z8-RxPSIh2Rsaks,22,Montage Beverly Hills
40,AWKoW_tYa4HuVbedPVUg,7,Hotel Zetta San Francisco
